Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
Information Security,Bachelors,66400,102200,48
Business Operations,Bachelors,63500,102100,
Industrial Management,Bachelors,57800,102000,53
Architectural Engineering,Bachelors,65000,101900,58
Hotel Administration,Bachelors,64900,101900,35
Manufacturing,Bachelors,57600,101500,48
Agricultural Economics & Business,Bachelors,54900,101400,56
Web Development,Bachelors,56400,101300,46
Aviation,Bachelors,54000,101200,48
Telecommunications Management,Bachelors,55000,101200,42
Property Management,Bachelors,55200,101000,47
Comparative Literature,Bachelors,48100,100900,46
Construction Science & Management,Bachelors,64700,100800,71
Biotechnology,Bachelors,53100,100700,59
Industrial & Labor Relations,Bachelors,69800,100600,44
Real Estate,Bachelors,59900,100600,36
Mechanical Engineering Technology (MET),Bachelors,64200,100400,48
Labor Relations,Bachelors,53000,100300,41
Electronics,Bachelors,57500,100200,63
Biochemistry (BCH),Bachelors,50400,99900,62
Politics,Bachelors,53000,99900,51
Accounting & Auditing,Bachelors,57800,99800,45
Chinese Language,Bachelors,54200,99600,43
Information Science (IS),Bachelors,66300,99500,36
East Asian Studies,Bachelors,49800,99400,42
Accounting & Finance,Bachelors,59200,99300,45
Network Security,Bachelors,62300,99300,50
Information Technology (IT),Bachelors,59100,99200,46
Aviation Management,Bachelors,50900,99100,58
Occupational Health and Safety,Bachelors,59900,99100,69
Agribusiness,Bachelors,50700,98900,53
Business & Marketing,Bachelors,51000,98900,45
Computer Engineering Technology (CET),Bachelors,63000,98900,47
Computer Security,Bachelors,68100,98700,43
Operations & Supply Chain Management,Bachelors,61300,98600,45
Entomology,Bachelors,45900,98500,
Music Production & Engineering,Bachelors,43100,98400,43
Industrial Engineering Technology,Bachelors,67200,98400,53
Logistics & Supply Chain Management,Bachelors,59000,98300,47
Supply Chain Management,Bachelors,61700,98300,41
Accounts,Bachelors,59800,98300,44
Economics & Management,Bachelors,54400,98200,
Environmental Policy Analysis & Planning,Bachelors,51000,98200,65
Physical Therapy,Bachelors,55500,98200,88
European History,Bachelors,52300,98000,47
Robotics & Automation,Bachelors,66100,98000,63
Geological Engineering,Bachelors,61700,97900,54
Manufacturing Technology,Bachelors,59900,97900,46
Chemistry,Bachelors,51600,97500,55
Business Logistics & Transportation,Bachelors,56400,97400,44
Food Science & Technology,Bachelors,53100,97300,49
City & Regional Planning,Bachelors,51800,97200,70
Civil Engineering Technology (CET),Bachelors,58300,97200,60
Electronics Engineering Technology (EET),Bachelors,64300,97100,50
English & Psychology,Bachelors,42600,97100,
Finance & Banking,Bachelors,55300,97100,47
Mechanical Design,Bachelors,60900,97100,45
Applied Technology,Bachelors,55500,97000,62
Marketing & Management,Bachelors,50000,96900,45
Technical & Scientific Communication,Bachelors,50700,96800,37
Financial Planning,Bachelors,54000,96600,63
Organizational Behavior,Bachelors,57000,96600,51
Marketing,Bachelors,51700,96600,40
Dairy Science,Bachelors,51200,96200,68
Project Management,Bachelors,56800,96200,58
Government & International Politics (GVIP),Bachelors,51300,96100,49
Latin American Studies,Bachelors,46700,96100,62
Industrial Design (ID),Bachelors,55100,95900,41
Web Design & Development,Bachelors,53100,95900,44
Computing & Information Systems (CIS),Bachelors,58100,95800,40
Electromechanical Engineering,Bachelors,70500,95800,55
Industrial Technology (IT),Bachelors,62200,95800,50
Information Technology (IT) & Systems,Bachelors,61100,95800,47
Biopsychology,Bachelors,53300,95700,74
Government & Politics,Bachelors,52400,95700,51
Microbiology & Immunology,Bachelors,54900,95400,68
Chemistry & Environmental Science,Bachelors,48200,95400,
Interactive Media Design,Bachelors,54000,95300,38
Risk Management,Bachelors,58500,95300,42
Cell Biology,Bachelors,50100,95200,59
Aeronautics,Bachelors,62800,95100,64
Welding Engineering Technology,Bachelors,74700,95000,42
Finance & Management Information Systems,Bachelors,63900,94800,
Computer Science (CS) & Business,Bachelors,81100,94600,28
Environmental Science & Policy,Bachelors,49500,94500,59
Marketing & Communications,Bachelors,49600,94500,45
Safety Management,Bachelors,60100,94500,70
Business Technology Management,Bachelors,57400,94400,42
